Name,DB,Name_clean
Aaron Ekblad,nst,aaronekblad
Aaron Ekblad,hr,aaronekblad
Aaron Ekblad,yh,aaronekblad
Aatu Räty,hr,aaturaty
Aatu Raty,nst,aaturaty
Adam Boqvist,yh,adamboqvist
Adam Boqvist,hr,adamboqvist
Adam Boqvist,nst,adamboqvist
Adam Edstrom,hr,adamedstrom
Adam Edstrom,nst,adamedstrom
Adam Fantilli,nst,adamfantilli
Adam Fantilli,yh,adamfantilli
Adam Fantilli,hr,adamfantilli
Adam Fox,yh,adamfox
Adam Fox,nst,adamfox
Adam Fox,hr,adamfox
Adam Gaudette,yh,adamgaudette
Adam Gaudette,hr,adamgaudette
Adam Gaudette,nst,adamgaudette
Adam Ginning,hr,adamginning
Adam Ginning,nst,adamginning
Adam Henrique,yh,adamhenrique
Adam Henrique,nst,adamhenrique
Adam Henrique,hr,adamhenrique
Adam Klapka,nst,adamklapka
Adam Klapka,hr,adamklapka
Adam Larsson,nst,adamlarsson
Adam Larsson,yh,adamlarsson
Adam Larsson,hr,adamlarsson
Adam Lowry,yh,adamlowry
Adam Lowry,nst,adamlowry
Adam Lowry,hr,adamlowry
Adam Pelech,nst,adampelech
Adam Pelech,yh,adampelech
Adam Pelech,hr,adampelech
Adam Wilsby,hr,adamwilsby
Adam Wilsby,nst,adamwilsby
Adin Hill,nst,adinhill
Adin Hill,yh,adinhill
Adin Hill,hr,adinhill
Adrian Kempe,nst,adriankempe
Adrian Kempe,hr,adriankempe
Adrian Kempe,yh,adriankempe
A.J. Greer,nst,ajgreer
A.J. Greer,yh,ajgreer
A.J. Greer,hr,ajgreer
Akil Thomas,hr,akilthomas
Akil Thomas,nst,akilthomas
Akira Schmid,hr,akiraschmid
Akira Schmid,nst,akiraschmid
Albert Johansson,yh,albertjohansson
Albert Johansson,hr,albertjohansson
Albert Johansson,nst,albertjohansson
Alec Martinez,hr,alecmartinez
Alec Martinez,nst,alecmartinez
Aleksander Barkov,nst,aleksanderbarkov
Aleksander Barkov,yh,aleksanderbarkov
Aleksander Barkov,hr,aleksanderbarkov
Aleksei Kolosov,nst,alekseikolosov
Aleksei Kolosov,hr,alekseikolosov
Aleksei Kolosov,yh,alekseikolosov
Ales Stezka,hr,alesstezka
Ales Stezka,nst,alesstezka
Alexandar Georgiev,hr,alexandargeorgiev
Alexandar Georgiev,nst,alexandargeorgiev
Alexandar Georgiev,yh,alexandargeorgiev
Alexander Alexeyev,nst,alexanderalexeyev
Alexander Alexeyev,hr,alexanderalexeyev
Alexander Holtz,hr,alexanderholtz
Alexander Holtz,nst,alexanderholtz
Alexander Kerfoot,nst,alexanderkerfoot
Alexander Kerfoot,hr,alexanderkerfoot
Alexander Nylander,hr,alexandernylander
Alexander Petrovic,hr,alexanderpetrovic
Alexander Romanov,yh,alexanderromanov
Alexander Romanov,hr,alexanderromanov
Alexander Romanov,nst,alexanderromanov
Alexander Wennberg,nst,alexanderwennberg
Alexander Wennberg,hr,alexanderwennberg
Alexandre Carrier,nst,alexandrecarrier
Alexandre Carrier,yh,alexandrecarrier
Alexandre Carrier,hr,alexandrecarrier
Alexandre Texier,hr,alexandretexier
Alexandre Texier,nst,alexandretexier
Alex Barré-Boulet,nst,alexbarreboulet
Alex Barré-Boulet,hr,alexbarreboulet
Alex DeBrincat,yh,alexdebrincat
Alex DeBrincat,hr,alexdebrincat
Alex DeBrincat,nst,alexdebrincat
Alexey Toropchenko,nst,alexeytoropchenko
Alexey Toropchenko,hr,alexeytoropchenko
Alex Iafallo,hr,alexiafallo
Alex Iafallo,nst,alexiafallo
Alexis Lafrenière,nst,alexislafreniere
Alexis Lafrenière,hr,alexislafreniere
Alexis Lafreniere,yh,alexislafreniere
Alex Killorn,yh,alexkillorn
Alex Killorn,hr,alexkillorn
Alex Killorn,nst,alexkillorn
Alex Laferriere,nst,alexlaferriere
Alex Laferriere,yh,alexlaferriere
Alex Laferriere,hr,alexlaferriere
Alex Lyon,nst,alexlyon
Alex Lyon,hr,alexlyon
Alex Lyon,yh,alexlyon
Alex Nedeljkovic,hr,alexnedeljkovic
Alex Nedeljkovic,nst,alexnedeljkovic
Alex Nedeljkovic,yh,alexnedeljkovic
Alex Newhook,hr,alexnewhook
Alex Newhook,nst,alexnewhook
Alex Nylander,nst,alexnylander
Alex Ovechkin,nst,alexovechkin
Alex Ovechkin,hr,alexovechkin
Alex Ovechkin,yh,alexovechkin
Alex Petrovic,nst,alexpetrovic
Alex Pietrangelo,nst,alexpietrangelo
Alex Pietrangelo,yh,alexpietrangelo
Alex Pietrangelo,hr,alexpietrangelo
Alex Steeves,nst,alexsteeves
Alex Steeves,hr,alexsteeves
Alex Tuch,yh,alextuch
Alex Tuch,nst,alextuch
Alex Tuch,hr,alextuch
Alex Turcotte,nst,alexturcotte
Alex Turcotte,hr,alexturcotte
Alex Vlasic,nst,alexvlasic
Alex Vlasic,yh,alexvlasic
Alex Vlasic,hr,alexvlasic
Aliaksei Protas,hr,aliakseiprotas
Aliaksei Protas,yh,aliakseiprotas
Aliaksei Protas,nst,aliakseiprotas
Anders Lee,nst,anderslee
Anders Lee,yh,anderslee
Anders Lee,hr,anderslee
Andreas Athanasiou,hr,andreasathanasiou
Andreas Athanasiou,nst,andreasathanasiou
Andreas Englund,hr,andreasenglund
Andreas Englund,nst,andreasenglund
Andre Burakovsky,nst,andreburakovsky
André Burakovsky,hr,andreburakovsky
Andre Burakovsky,yh,andreburakovsky
Andrei Kuzmenko,hr,andreikuzmenko
Andrei Kuzmenko,yh,andreikuzmenko
Andrei Kuzmenko,nst,andreikuzmenko
Andrei Svechnikov,nst,andreisvechnikov
Andrei Svechnikov,hr,andreisvechnikov
Andrei Svechnikov,yh,andreisvechnikov
Andrei Vasilevskiy,nst,andreivasilevskiy
Andrei Vasilevskiy,yh,andreivasilevskiy
Andrei Vasilevskiy,hr,andreivasilevskiy
Andre Lee,hr,andrelee
Andre Lee,nst,andrelee
Andrew Copp,nst,andrewcopp
Andrew Copp,hr,andrewcopp
Andrew Mangiapane,hr,andrewmangiapane
Andrew Mangiapane,nst,andrewmangiapane
Andrew Mangiapane,yh,andrewmangiapane
Andrew Peeke,hr,andrewpeeke
Andrew Peeke,nst,andrewpeeke
Andrew Poturalski,nst,andrewpoturalski
Andrew Poturalski,hr,andrewpoturalski
Angus Crookshank,nst,anguscrookshank
Angus Crookshank,hr,anguscrookshank
Anthony Beauvillier,yh,anthonybeauvillier
Anthony Beauvillier,nst,anthonybeauvillier
Anthony Beauvillier,hr,anthonybeauvillier
Anthony Cirelli,yh,anthonycirelli
Anthony Cirelli,hr,anthonycirelli
Anthony Cirelli,nst,anthonycirelli
Anthony Duclair,yh,anthonyduclair
Anthony Duclair,hr,anthonyduclair
Anthony Duclair,nst,anthonyduclair
Anthony Mantha,hr,anthonymantha
Anthony Mantha,yh,anthonymantha
Anthony Mantha,nst,anthonymantha
Anthony Richard,yh,anthonyrichard
Anthony Richard,hr,anthonyrichard
Anthony Richard,nst,anthonyrichard
Anthony Stolarz,hr,anthonystolarz
Anthony Stolarz,nst,anthonystolarz
Anthony Stolarz,yh,anthonystolarz
Anton Forsberg,hr,antonforsberg
Anton Forsberg,nst,antonforsberg
Anton Forsberg,yh,antonforsberg
Anton Lundell,hr,antonlundell
Anton Lundell,nst,antonlundell
Anton Lundell,yh,antonlundell
Anze Kopitar,yh,anzekopitar
Anže Kopitar,hr,anzekopitar
Anze Kopitar,nst,anzekopitar
Arber Xhekaj,yh,arberxhekaj
Arber Xhekaj,nst,arberxhekaj
Arber Xhekaj,hr,arberxhekaj
Arshdeep Bains,hr,arshdeepbains
Arshdeep Bains,nst,arshdeepbains
Artemi Panarin,hr,artemipanarin
Artemi Panarin,yh,artemipanarin
Artemi Panarin,nst,artemipanarin
Artem Zub,hr,artemzub
Artem Zub,nst,artemzub
Artem Zub,yh,artemzub
Arthur Kaliyev,hr,arthurkaliyev
Arthur Kaliyev,nst,arthurkaliyev
Arttu Hyry,hr,arttuhyry
Arttu Hyry,nst,arttuhyry
Artturi Lehkonen,hr,artturilehkonen
Artturi Lehkonen,yh,artturilehkonen
Artturi Lehkonen,nst,artturilehkonen
Arturs Silovs,nst,arturssilovs
Arturs Silovs,hr,arturssilovs
Arturs Silovs,yh,arturssilovs
Artyom Levshunov,yh,artyomlevshunov
Artyom Levshunov,hr,artyomlevshunov
Artyom Levshunov,nst,artyomlevshunov
Arvid Soderblom,nst,arvidsoderblom
Arvid Söderblom,hr,arvidsoderblom
Arvid Soderblom,yh,arvidsoderblom
Austin Watson,hr,austinwatson
Austin Watson,nst,austinwatson
Auston Matthews,yh,austonmatthews
Auston Matthews,nst,austonmatthews
Auston Matthews,hr,austonmatthews
Barclay Goodrow,nst,barclaygoodrow
Barclay Goodrow,hr,barclaygoodrow
Barrett Hayton,hr,barretthayton
Barrett Hayton,yh,barretthayton
Barrett Hayton,nst,barretthayton
Beck Malenstyn,hr,beckmalenstyn
Beck Malenstyn,yh,beckmalenstyn
Beck Malenstyn,nst,beckmalenstyn
Ben Chiarot,hr,benchiarot
Ben Chiarot,yh,benchiarot
Ben Chiarot,nst,benchiarot
Ben Hutton,nst,benhutton
Ben Hutton,hr,benhutton
Ben Jones,nst,benjones
Ben Jones,hr,benjones
Ben Meyers,hr,benmeyers
Ben Meyers,nst,benmeyers
Blake Coleman,hr,blakecoleman
Blake Coleman,nst,blakecoleman
Blake Coleman,yh,blakecoleman
Blake Lizotte,hr,blakelizotte
Blake Lizotte,nst,blakelizotte
Bobby Brink,nst,bobbybrink
Bobby Brink,hr,bobbybrink
Bobby McMann,yh,bobbymcmann
Bobby McMann,nst,bobbymcmann
Bobby McMann,hr,bobbymcmann
Bo Horvat,yh,bohorvat
Bo Horvat,nst,bohorvat
Bo Horvat,hr,bohorvat
Bokondji Imama,hr,bokondjiimama
Bokondji Imama,nst,bokondjiimama
Boone Jenner,yh,boonejenner
Boone Jenner,hr,boonejenner
Boone Jenner,nst,boonejenner
Bowen Byram,hr,bowenbyram
Bowen Byram,yh,bowenbyram
Bowen Byram,nst,bowenbyram
Braden Schneider,nst,bradenschneider
Braden Schneider,hr,bradenschneider
Braden Schneider,yh,bradenschneider
Brad Lambert,nst,bradlambert
Brad Lambert,hr,bradlambert
Brad Marchand,yh,bradmarchand
Brad Marchand,nst,bradmarchand
Brad Marchand,hr,bradmarchand
Brady Skjei,hr,bradyskjei
Brady Skjei,yh,bradyskjei
Brady Skjei,nst,bradyskjei
Brady Tkachuk,hr,bradytkachuk
Brady Tkachuk,yh,bradytkachuk
Brady Tkachuk,nst,bradytkachuk
Brandon Carlo,hr,brandoncarlo
Brandon Carlo,yh,brandoncarlo
Brandon Carlo,nst,brandoncarlo
Brandon Duhaime,yh,brandonduhaime
Brandon Duhaime,hr,brandonduhaime
Brandon Duhaime,nst,brandonduhaime
Brandon Hagel,yh,brandonhagel
Brandon Hagel,hr,brandonhagel
Brandon Hagel,nst,brandonhagel
Brandon Halverson,hr,brandonhalverson
Brandon Halverson,nst,brandonhalverson
Brandon Montour,hr,brandonmontour
Brandon Montour,nst,brandonmontour
Brandon Montour,yh,brandonmontour
Brandon Saad,nst,brandonsaad
Brandon Saad,hr,brandonsaad
Brandon Tanev,hr,brandontanev
Brandon Tanev,yh,brandontanev
Brandon Tanev,nst,brandontanev
Brandt Clarke,nst,brandtclarke
Brandt Clarke,yh,brandtclarke
Brandt Clarke,hr,brandtclarke
Brayden McNabb,hr,braydenmcnabb
Brayden McNabb,nst,braydenmcnabb
Brayden McNabb,yh,braydenmcnabb
Brayden Pachal,nst,braydenpachal
Brayden Pachal,hr,braydenpachal
Brayden Pachal,yh,braydenpachal
Brayden Point,yh,braydenpoint
Brayden Point,nst,braydenpoint
Brayden Point,hr,braydenpoint
Brayden Schenn,hr,braydenschenn
Brayden Schenn,yh,braydenschenn
Brayden Schenn,nst,braydenschenn
Brendan Brisson,nst,brendanbrisson
Brendan Brisson,hr,brendanbrisson
Brendan Gallagher,yh,brendangallagher
Brendan Gallagher,hr,brendangallagher
Brendan Gallagher,nst,brendangallagher
Brendan Gaunce,hr,brendangaunce
Brendan Gaunce,nst,brendangaunce
Brendan Smith,nst,brendansmith
Brendan Smith,hr,brendansmith
Brenden Dillon,nst,brendendillon
Brenden Dillon,hr,brendendillon
Brenden Dillon,yh,brendendillon
Brennan Othmann,nst,brennanothmann
Brennan Othmann,hr,brennanothmann
Brent Burns,nst,brentburns
Brent Burns,yh,brentburns
Brent Burns,hr,brentburns
Brett Berard,hr,brettberard
Brett Berard,nst,brettberard
Brett Howden,hr,bretthowden
Brett Howden,nst,bretthowden
Brett Howden,yh,bretthowden
Brett Kulak,hr,brettkulak
Brett Kulak,nst,brettkulak
Brett Kulak,yh,brettkulak
Brett Leason,hr,brettleason
Brett Leason,nst,brettleason
Brett Murray,hr,brettmurray
Brett Murray,nst,brettmurray
Brett Pesce,yh,brettpesce
Brett Pesce,hr,brettpesce
Brett Pesce,nst,brettpesce
Brian Dumoulin,hr,briandumoulin
Brian Dumoulin,nst,briandumoulin
Brian Dumoulin,yh,briandumoulin
Brian Halonen,nst,brianhalonen
Brian Halonen,hr,brianhalonen
Brock Boeser,nst,brockboeser
Brock Boeser,yh,brockboeser
Brock Boeser,hr,brockboeser
Brock Faber,hr,brockfaber
Brock Faber,nst,brockfaber
Brock Faber,yh,brockfaber
Brock McGinn,yh,brockmcginn
Brock McGinn,hr,brockmcginn
Brock McGinn,nst,brockmcginn
Brock Nelson,nst,brocknelson
Brock Nelson,yh,brocknelson
Brock Nelson,hr,brocknelson
Bryan Rust,yh,bryanrust
Bryan Rust,nst,bryanrust
Bryan Rust,hr,bryanrust
Caleb Jones,nst,calebjones
Caleb Jones,hr,calebjones
Cale Fleury,hr,calefleury
Cale Fleury,nst,calefleury
Cale Makar,hr,calemakar
Cale Makar,yh,calemakar
Cale Makar,nst,calemakar
Callahan Burke,hr,callahanburke
Callahan Burke,nst,callahanburke
Calle Järnkrok,hr,callejarnkrok
Calle Jarnkrok,nst,callejarnkrok
Calum Ritchie,hr,calumritchie
Calum Ritchie,nst,calumritchie
Calvin de Haan,nst,calvindehaan
Calvin de Haan,hr,calvindehaan
Calvin Pickard,yh,calvinpickard
Calvin Pickard,hr,calvinpickard
Calvin Pickard,nst,calvinpickard
Cam Atkinson,nst,camatkinson
Cam Atkinson,hr,camatkinson
Cam Dineen,nst,camdineen
Cam Dineen,hr,camdineen
Cameron Atkinson,nst,cameronatkinson
Cameron Lund,hr,cameronlund
Cameron York,hr,cameronyork
Cam Fowler,yh,camfowler
Cam Fowler,nst,camfowler
Cam Fowler,hr,camfowler
Cam Lund,nst,camlund
Cam Talbot,nst,camtalbot
Cam Talbot,hr,camtalbot
Cam Talbot,yh,camtalbot
Cam York,nst,camyork
Cam York,yh,camyork
Carl Grundstrom,nst,carlgrundstrom
Carl Grundstrom,yh,carlgrundstrom
Carl Grundström,hr,carlgrundstrom
Carson Soucy,nst,carsonsoucy
Carson Soucy,hr,carsonsoucy
Carson Soucy,yh,carsonsoucy
Carter Mazur,hr,cartermazur
Carter Mazur,nst,cartermazur
Carter Verhaeghe,nst,carterverhaeghe
Carter Verhaeghe,hr,carterverhaeghe
Carter Verhaeghe,yh,carterverhaeghe
Casey Cizikas,nst,caseycizikas
Casey Cizikas,yh,caseycizikas
Casey Cizikas,hr,caseycizikas
Casey DeSmith,nst,caseydesmith
Casey DeSmith,yh,caseydesmith
Casey DeSmith,hr,caseydesmith
Casey Mittelstadt,yh,caseymittelstadt
Casey Mittelstadt,nst,caseymittelstadt
Casey Mittelstadt,hr,caseymittelstadt
Cayden Primeau,nst,caydenprimeau
Cayden Primeau,yh,caydenprimeau
Cayden Primeau,hr,caydenprimeau
Chad Ruhwedel,nst,chadruhwedel
Chad Ruhwedel,hr,chadruhwedel
Chandler Stephenson,nst,chandlerstephenson
Chandler Stephenson,yh,chandlerstephenson
Chandler Stephenson,hr,chandlerstephenson
Charlie Coyle,nst,charliecoyle
Charlie Coyle,yh,charliecoyle
Charlie Coyle,hr,charliecoyle
Charlie Lindgren,yh,charlielindgren
Charlie Lindgren,nst,charlielindgren
Charlie Lindgren,hr,charlielindgren
Charlie McAvoy,yh,charliemcavoy
Charlie McAvoy,nst,charliemcavoy
Charlie McAvoy,hr,charliemcavoy
